ERROR:root:;valorAPosta;corAposta;brancoAposta;winAposta;contadorAposta;Data/Hora
ERROR:root:;0.02;PRETO;False;True;1;2021-11-08 08:15:07.485781
ERROR:root:;0.02;PRETO;False;True;1;2021-11-08 08:15:38.028799
ERROR:root:;0.02;PRETO;False;True;1;2021-11-08 08:16:10.513587
ERROR:root:;0.02;VERMELHO;False;False;1;2021-11-08 08:17:42.048809
ERROR:root:;0.04;PRETO;False;False;2;2021-11-08 08:33:06.023303
ERROR:root:;0.08;VERMELHO;False;True;3;2021-11-08 08:34:39.847613
ERROR:root:;0.02;VERMELHO;False;True;1;2021-11-08 08:35:09.642899
ERROR:root:;0.02;VERMELHO;False;False;1;2021-11-08 08:37:13.478510
ERROR:root:;0.04;VERMELHO;False;False;2;2021-11-08 08:41:20.151740
ERROR:root:;0.08;PRETO;False;True;3;2021-11-08 08:44:54.734131
ERROR:root:;0.02;PRETO;True;True;1;2021-11-08 08:45:56.118154
ERROR:root:;0.02;PRETO;False;False;1;2021-11-08 08:46:58.139533
ERROR:root:;0.04;PRETO;False;False;2;2021-11-08 08:47:59.888825
ERROR:root:;0.08;PRETO;True;False;3;2021-11-08 08:49:32.654693
ERROR:root:;0.16;PRETO;False;True;4;2021-11-08 09:04:29.393957
ERROR:root:;0.02;PRETO;False;False;1;2021-11-08 09:04:58.611706
ERROR:root:;0.04;PRETO;False;True;2;2021-11-08 09:06:03.506736
ERROR:root:;0.02;PRETO;False;True;1;2021-11-08 09:06:35.727253
ERROR:root:;0.02;PRETO;False;True;1;2021-11-08 09:07:06.951187
ERROR:root:;0.02;PRETO;True;False;1;2021-11-08 09:08:38.635401
ERROR:root:;0.04;PRETO;False;False;2;2021-11-08 09:13:22.882178
ERROR:root:;0.08;PRETO;False;True;3;2021-11-08 09:15:57.718518
ERROR:root:;0.02;PRETO;False;False;1;2021-11-08 09:16:30.962951
ERROR:root:;0.04;PRETO;False;True;2;2021-11-08 09:18:06.895536
ERROR:root:;0.02;PRETO;False;False;1;2021-11-08 09:26:29.656246
ERROR:root:;0.04;VERMELHO;True;False;2;2021-11-08 09:28:04.249880
ERROR:root:;0.08;VERMELHO;False;False;3;2021-11-08 09:29:05.683111
ERROR:root:;0.16;VERMELHO;False;False;4;2021-11-08 09:30:40.675884
ERROR:root:;0.32;VERMELHO;False;True;5;2021-11-08 09:32:13.282412
ERROR:root:;0.02;VERMELHO;False;False;1;2021-11-08 09:32:43.867546
ERROR:root:;0.04;PRETO;True;True;2;2021-11-08 09:34:48.507340
ERROR:root:;0.02;PRETO;False;False;1;2021-11-08 09:35:21.325995
ERROR:root:;0.04;PRETO;False;False;2;2021-11-08 09:37:55.918950
ERROR:root:;0.08;PRETO;False;False;3;2021-11-08 09:51:56.956267
ERROR:root:;0.16;PRETO;True;False;4;2021-11-08 09:54:33.111020
ERROR:root:;valorAPosta;corAposta;brancoAposta;winAposta;contadorAposta;Data/Hora
ERROR:root:;0.01;VERMELHO;False;True;1;2021-11-08 10:00:14.221774
ERROR:root:;0.01;VERMELHO;False;False;1;2021-11-08 10:00:46.246068
ERROR:root:;0.02;VERMELHO;False;False;2;2021-11-08 10:06:26.897351
ERROR:root:;0.04;PRETO;False;False;3;2021-11-08 10:24:39.682928
ERROR:root:;0.08;VERMELHO;False;True;4;2021-11-08 10:27:47.782914
ERROR:root:;0.01;VERMELHO;False;False;1;2021-11-08 10:28:18.336966
ERROR:root:;0.02;VERMELHO;False;True;2;2021-11-08 10:35:38.983615
ERROR:root:;0.01;VERMELHO;False;False;1;2021-11-08 10:36:40.680889
ERROR:root:;0.02;VERMELHO;False;False;2;2021-11-08 10:39:49.856267
ERROR:root:;0.04;VERMELHO;False;False;3;2021-11-08 10:41:24.576176
ERROR:root:;0.08;PRETO;False;False;4;2021-11-08 10:45:04.886166
ERROR:root:;0.16;PRETO;False;True;5;2021-11-08 10:47:10.684565
ERROR:root:;0.01;PRETO;False;False;1;2021-11-08 10:51:22.196120
ERROR:root:;0.02;PRETO;False;False;2;2021-11-08 10:52:25.769451
ERROR:root:;0.04;PRETO;False;True;3;2021-11-08 10:53:59.542921
ERROR:root:;0.01;PRETO;False;False;1;2021-11-08 10:54:30.262495
ERROR:root:;0.02;PRETO;False;True;2;2021-11-08 11:21:02.388586
ERROR:root:;0.01;PRETO;False;True;1;2021-11-08 11:21:35.178233
ERROR:root:;0.01;PRETO;False;False;1;2021-11-08 11:31:32.112959
ERROR:root:;0.02;PRETO;False;True;2;2021-11-08 11:33:05.116525
ERROR:root:;0.01;PRETO;False;True;1;2021-11-08 11:34:40.247820
ERROR:root:;0.01;PRETO;False;True;1;2021-11-08 11:35:43.940026
ERROR:root:;0.01;PRETO;True;True;1;2021-11-08 11:36:47.022032
ERROR:root:;0.01;PRETO;False;True;1;2021-11-08 11:37:19.431807
ERROR:root:;0.01;PRETO;False;False;1;2021-11-08 11:58:15.555311
ERROR:root:;0.02;PRETO;False;False;2;2021-11-08 12:00:51.224054
ERROR:root:;0.04;PRETO;False;True;3;2021-11-08 12:02:57.538337
ERROR:root:;0.01;PRETO;False;False;1;2021-11-08 12:03:27.687075
ERROR:root:;0.02;PRETO;False;True;2;2021-11-08 12:05:34.476279
ERROR:root:;0.01;PRETO;True;True;1;2021-11-08 12:07:37.867982
ERROR:root:;0.01;PRETO;False;True;1;2021-11-08 12:08:10.302450
ERROR:root:;0.01;PRETO;False;False;1;2021-11-08 12:08:40.611714
ERROR:root:;0.02;VERMELHO;False;True;2;2021-11-08 12:14:02.606876
ERROR:root:;0.01;VERMELHO;False;False;1;2021-11-08 12:14:35.030483
ERROR:root:;0.02;VERMELHO;False;True;2;2021-11-08 12:16:12.037299
ERROR:root:;0.01;VERMELHO;False;True;1;2021-11-08 12:17:13.885195
ERROR:root:;0.01;VERMELHO;False;False;1;2021-11-08 12:18:18.798030
ERROR:root:;0.02;VERMELHO;False;False;2;2021-11-08 12:19:53.562559
ERROR:root:;0.04;VERMELHO;False;False;3;2021-11-08 12:22:01.053380
ERROR:root:;0.08;VERMELHO;False;True;4;2021-11-08 12:23:02.291707
ERROR:root:;valorAPosta;corAposta;brancoAposta;winAposta;contadorAposta;Data/Hora
ERROR:root:;0.01;VERMELHO;False;True;1;2021-11-08 12:43:05.628818
ERROR:root:;0.01;VERMELHO;False;True;1;2021-11-08 12:43:38.176702
ERROR:root:;0.01;VERMELHO;False;True;1;2021-11-08 12:44:08.657602
ERROR:root:;0.01;VERMELHO;False;True;1;2021-11-08 12:45:44.395496
ERROR:root:;0.01;VERMELHO;False;False;1;2021-11-08 12:48:24.551452
ERROR:root:;0.02;PRETO;False;True;2;2021-11-08 12:51:33.119469
ERROR:root:;0.01;VERMELHO;False;False;1;2021-11-08 12:52:06.030955
ERROR:root:;0.02;PRETO;False;False;2;2021-11-08 13:05:45.532805
ERROR:root:;0.04;VERMELHO;False;False;3;2021-11-08 13:08:23.066012
ERROR:root:;0.08;PRETO;False;True;4;2021-11-08 13:18:23.023113
ERROR:root:;0.01;PRETO;False;False;1;2021-11-08 13:18:53.467154
ERROR:root:;0.02;PRETO;False;False;2;2021-11-08 13:19:56.977559
ERROR:root:;0.04;VERMELHO;False;True;3;2021-11-08 13:23:09.922026
ERROR:root:;0.01;VERMELHO;False;True;1;2021-11-08 13:23:41.126229
ERROR:root:;0.01;VERMELHO;False;True;1;2021-11-08 13:26:20.073855
ERROR:root:;0.01;VERMELHO;False;True;1;2021-11-08 13:26:50.903445
ERROR:root:;0.01;PRETO;False;False;1;2021-11-08 13:29:29.738577
ERROR:root:;0.02;PRETO;False;False;2;2021-11-08 13:31:04.823706
ERROR:root:;0.04;PRETO;False;False;3;2021-11-08 13:33:09.415134
ERROR:root:;0.08;VERMELHO;False;True;4;2021-11-08 13:45:13.238287
ERROR:root:;0.01;VERMELHO;False;False;1;2021-11-08 13:46:48.267129
ERROR:root:;0.02;VERMELHO;False;False;2;2021-11-08 13:48:54.821822
ERROR:root:;0.04;PRETO;True;True;3;2021-11-08 13:49:58.384028
ERROR:root:;0.01;PRETO;False;False;1;2021-11-08 13:52:02.788040
ERROR:root:;0.02;PRETO;False;True;2;2021-11-08 13:53:38.404788
ERROR:root:;0.01;PRETO;False;True;1;2021-11-08 13:54:10.852873
ERROR:root:;0.01;PRETO;False;False;1;2021-11-08 13:54:41.785281
ERROR:root:;0.02;PRETO;False;False;2;2021-11-08 13:56:48.304024
ERROR:root:;0.04;VERMELHO;False;True;3;2021-11-08 13:58:54.942511
ERROR:root:;0.01;VERMELHO;False;False;1;2021-11-08 14:01:33.141993
ERROR:root:;0.02;VERMELHO;False;False;2;2021-11-08 14:03:39.220319
ERROR:root:;valorAPosta;corAposta;brancoAposta;winAposta;contadorAposta;Data/Hora
ERROR:root:;0.01;VERMELHO;False;True;1;2021-11-08 14:23:46.550125
ERROR:root:;valorAPosta;corAposta;brancoAposta;winAposta;contadorAposta;Data/Hora
ERROR:root:;0.01;VERMELHO;False;True;1;2021-11-08 14:25:53.498353
ERROR:root:;0.01;VERMELHO;False;False;1;2021-11-08 14:26:26.080141
ERROR:root:;0.02;PRETO;False;True;2;2021-11-08 14:31:12.794370
ERROR:root:;0.01;PRETO;False;False;1;2021-11-08 14:31:44.496000
