ERROR:root:;valorAPosta;corAposta;brancoAposta;winAposta;contadorAposta
ERROR:root:;valorAPosta;corAposta;brancoAposta;winAposta;contadorAposta
ERROR:root:;0.02;VERMELHO;False;False;1
ERROR:root:;0.04;VERMELHO;False;True;2
ERROR:root:;0.02;VERMELHO;False;True;1
ERROR:root:;0.02;VERMELHO;False;False;1
ERROR:root:;0.04;VERMELHO;False;False;2
ERROR:root:;0.08;VERMELHO;False;True;3
ERROR:root:;0.02;VERMELHO;False;False;1
ERROR:root:;0.04;VERMELHO;False;True;2
ERROR:root:;0.02;PRETO;False;False;1
ERROR:root:;0.04;PRETO;False;True;2
ERROR:root:;0.02;PRETO;False;True;1
ERROR:root:;0.02;PRETO;False;False;1
ERROR:root:;0.04;PRETO;False;True;2
ERROR:root:;0.02;VERMELHO;False;False;1
ERROR:root:;0.04;VERMELHO;False;False;2
ERROR:root:;0.08;VERMELHO;False;False;3
ERROR:root:;0.16;PRETO;True;True;3
ERROR:root:;0.02;PRETO;True;False;1
ERROR:root:;0.04;PRETO;True;True;2
ERROR:root:;0.02;VERMELHO;False;True;1
ERROR:root:;0.02;PRETO;False;True;1
ERROR:root:;0.02;VERMELHO;False;False;1
ERROR:root:;0.04;VERMELHO;False;True;2
ERROR:root:;0.02;VERMELHO;False;False;1
ERROR:root:;0.04;VERMELHO;False;False;2
ERROR:root:;0.08;VERMELHO;False;True;3
ERROR:root:;0.02;PRETO;False;True;1
ERROR:root:;0.02;VERMELHO;True;False;1
ERROR:root:;0.04;VERMELHO;True;False;2
ERROR:root:;0.08;VERMELHO;True;True;3
ERROR:root:;0.02;PRETO;True;True;1
ERROR:root:;0.02;PRETO;False;True;1
ERROR:root:;0.02;PRETO;False;True;1
ERROR:root:;0.02;PRETO;False;False;1
ERROR:root:;0.04;PRETO;False;False;2
ERROR:root:;0.08;PRETO;False;True;3
ERROR:root:;0.02;VERMELHO;False;True;1
ERROR:root:;0.02;PRETO;False;False;1
ERROR:root:;0.04;PRETO;False;True;2
ERROR:root:;0.02;PRETO;False;False;1
ERROR:root:;0.04;PRETO;False;True;2
ERROR:root:;0.02;VERMELHO;False;False;1
ERROR:root:;0.04;VERMELHO;False;True;2
ERROR:root:;0.02;VERMELHO;False;True;1
ERROR:root:;0.02;VERMELHO;False;False;1
ERROR:root:;0.04;VERMELHO;False;True;2
ERROR:root:;0.02;VERMELHO;False;True;1
ERROR:root:;0.02;VERMELHO;False;False;1
ERROR:root:;0.04;VERMELHO;False;False;2
ERROR:root:;0.08;VERMELHO;False;True;3
ERROR:root:;0.02;PRETO;False;True;1
ERROR:root:;0.02;PRETO;False;True;1
ERROR:root:;0.02;PRETO;False;True;1
ERROR:root:;0.02;PRETO;True;True;1
ERROR:root:;0.02;PRETO;False;True;1
ERROR:root:;0.02;PRETO;False;True;1
ERROR:root:;0.02;VERMELHO;False;True;1
ERROR:root:;0.02;VERMELHO;False;True;1
ERROR:root:;0.02;VERMELHO;False;False;1
ERROR:root:;0.04;VERMELHO;False;True;2
ERROR:root:;valorAPosta;corAposta;brancoAposta;winAposta;contadorAposta
ERROR:root:;0.02;PRETO;False;True;1
ERROR:root:;0.02;VERMELHO;False;False;1
ERROR:root:;0.04;VERMELHO;False;True;2
ERROR:root:;0.02;PRETO;False;False;1
ERROR:root:;0.04;PRETO;False;True;2
ERROR:root:;0.02;PRETO;False;True;1
ERROR:root:;0.02;PRETO;False;False;1
ERROR:root:;0.04;PRETO;False;True;2
ERROR:root:;0.02;PRETO;False;True;1
ERROR:root:;0.02;PRETO;False;True;1
ERROR:root:;0.02;PRETO;True;False;1
ERROR:root:;0.04;PRETO;True;False;2
ERROR:root:;0.08;PRETO;True;False;3
ERROR:root:;0.16;VERMELHO;False;False;3
ERROR:root:;0.32;VERMELHO;False;True;4
ERROR:root:;0.02;VERMELHO;False;False;1
ERROR:root:;0.04;VERMELHO;False;True;2
ERROR:root:;0.02;VERMELHO;True;False;1
ERROR:root:;0.04;VERMELHO;True;True;2
ERROR:root:;0.02;VERMELHO;False;False;1
ERROR:root:;0.04;VERMELHO;False;True;2
ERROR:root:;0.02;VERMELHO;False;False;1
ERROR:root:;0.04;VERMELHO;False;False;2
ERROR:root:;0.08;VERMELHO;False;True;3
ERROR:root:;0.02;PRETO;False;True;1
ERROR:root:;0.02;VERMELHO;False;True;1
ERROR:root:;0.02;VERMELHO;False;False;1
ERROR:root:;0.04;VERMELHO;False;False;2
ERROR:root:;0.08;VERMELHO;False;False;3
ERROR:root:;0.16;PRETO;False;False;3
ERROR:root:;0.32;PRETO;False;True;4
ERROR:root:;0.02;VERMELHO;False;False;1
ERROR:root:;0.04;VERMELHO;False;True;2
ERROR:root:;0.02;VERMELHO;False;False;1
ERROR:root:;0.04;VERMELHO;False;True;2
ERROR:root:;0.02;VERMELHO;False;False;1
ERROR:root:;0.04;VERMELHO;False;True;2
ERROR:root:;0.02;PRETO;False;True;1
ERROR:root:;0.02;PRETO;True;False;1
ERROR:root:;0.04;PRETO;True;True;2
ERROR:root:;0.02;VERMELHO;False;False;1
ERROR:root:;0.04;VERMELHO;False;False;2
ERROR:root:;0.08;VERMELHO;False;False;3
ERROR:root:;0.16;PRETO;False;False;3
ERROR:root:;0.32;PRETO;False;False;4
ERROR:root:;0.64;PRETO;False;True;5
ERROR:root:;0.02;PRETO;False;True;1
ERROR:root:;0.02;PRETO;True;False;1
ERROR:root:;0.04;PRETO;True;True;2
ERROR:root:;0.02;PRETO;False;False;1
ERROR:root:;0.04;PRETO;False;True;2
ERROR:root:;0.02;PRETO;False;True;1
ERROR:root:;0.02;PRETO;True;True;1
ERROR:root:;0.02;PRETO;False;True;1
ERROR:root:;0.02;PRETO;False;True;1
ERROR:root:;0.02;PRETO;False;False;1
ERROR:root:;0.04;PRETO;False;False;2
ERROR:root:;0.08;PRETO;False;True;3
ERROR:root:;0.02;PRETO;False;True;1
ERROR:root:;0.02;PRETO;False;False;1
ERROR:root:;0.04;PRETO;False;True;2
ERROR:root:;0.02;VERMELHO;False;False;1
ERROR:root:;0.04;VERMELHO;False;True;2
ERROR:root:;0.02;PRETO;False;True;1
ERROR:root:;0.02;PRETO;False;False;1
ERROR:root:;0.04;PRETO;False;True;2
ERROR:root:;0.02;VERMELHO;False;True;1
ERROR:root:;0.02;VERMELHO;False;True;1
ERROR:root:;0.02;VERMELHO;False;False;1
ERROR:root:;0.04;VERMELHO;False;True;2
ERROR:root:;0.02;PRETO;False;False;1
ERROR:root:;0.04;PRETO;False;False;2
ERROR:root:;0.08;PRETO;False;False;3
ERROR:root:;0.16;PRETO;False;True;3
ERROR:root:;0.02;PRETO;False;False;1
ERROR:root:;0.04;PRETO;False;True;2
ERROR:root:;0.02;PRETO;True;True;1
ERROR:root:;0.02;PRETO;False;True;1
ERROR:root:;0.02;VERMELHO;False;True;1
ERROR:root:;0.02;PRETO;False;False;1
ERROR:root:;0.04;PRETO;False;False;2
ERROR:root:;0.08;PRETO;False;False;3
ERROR:root:;0.16;VERMELHO;False;True;3
ERROR:root:;0.02;VERMELHO;False;True;1
ERROR:root:;0.02;VERMELHO;False;True;1
ERROR:root:;0.02;VERMELHO;False;True;1
ERROR:root:;0.02;VERMELHO;False;False;1
ERROR:root:;0.04;VERMELHO;False;False;2
ERROR:root:;0.08;VERMELHO;False;True;3
ERROR:root:;0.02;VERMELHO;False;True;1
ERROR:root:;0.02;VERMELHO;False;False;1
ERROR:root:;0.04;VERMELHO;False;False;2
ERROR:root:;0.08;VERMELHO;False;False;3
ERROR:root:;0.16;VERMELHO;True;False;3
ERROR:root:;0.32;VERMELHO;True;True;4
ERROR:root:;0.02;PRETO;False;False;1
ERROR:root:;0.04;PRETO;False;False;2
ERROR:root:;0.08;PRETO;False;False;3
ERROR:root:;0.16;PRETO;True;True;3
ERROR:root:;0.02;VERMELHO;False;True;1
ERROR:root:;0.02;VERMELHO;True;True;1
ERROR:root:;0.02;VERMELHO;False;False;1
ERROR:root:;0.04;VERMELHO;False;False;2
ERROR:root:;0.08;VERMELHO;False;False;3
ERROR:root:;0.16;VERMELHO;False;True;3
ERROR:root:;0.02;PRETO;False;False;1
ERROR:root:;0.04;PRETO;False;False;2
ERROR:root:;0.08;PRETO;False;True;3
ERROR:root:;0.02;VERMELHO;False;True;1
ERROR:root:;0.02;PRETO;False;False;1
ERROR:root:;0.04;PRETO;False;False;2
ERROR:root:;0.08;PRETO;False;False;3
