ERROR:root:;valorAPosta;corAposta;brancoAposta;winAposta;contadorAposta;Data/Hora
ERROR:root:;0.02;VERMELHO;False;False;1;2021-10-26 08:31:28.971901
ERROR:root:;0.04;VERMELHO;False;False;2;2021-10-26 08:32:00.539597
ERROR:root:;0.08;VERMELHO;False;True;3;2021-10-26 08:32:30.109773
ERROR:root:;0.02;PRETO;False;True;1;2021-10-26 08:33:02.805143
ERROR:root:;0.02;PRETO;True;True;1;2021-10-26 08:35:05.563339
ERROR:root:;0.02;PRETO;False;True;1;2021-10-26 08:35:36.376419
ERROR:root:;0.02;PRETO;False;True;1;2021-10-26 08:39:16.596451
ERROR:root:;0.02;PRETO;False;False;1;2021-10-26 08:39:47.399459
ERROR:root:;0.04;PRETO;False;True;2;2021-10-26 08:40:17.549432
ERROR:root:;0.02;PRETO;False;True;1;2021-10-26 08:42:22.616702
ERROR:root:;0.02;PRETO;False;False;1;2021-10-26 08:48:07.525475
ERROR:root:;0.04;PRETO;False;True;2;2021-10-26 08:48:39.157277
ERROR:root:;0.02;PRETO;False;False;1;2021-10-26 08:57:58.703598
ERROR:root:;0.04;PRETO;False;False;2;2021-10-26 08:58:28.298143
ERROR:root:;0.08;PRETO;False;False;3;2021-10-26 08:58:59.806675
ERROR:root:;0.18;VERMELHO;False;False;4;2021-10-26 09:01:36.992891
ERROR:root:;0.36;VERMELHO;False;True;5;2021-10-26 09:02:06.819623
ERROR:root:;0.02;VERMELHO;False;True;1;2021-10-26 09:02:40.010714
ERROR:root:;0.02;VERMELHO;False;False;1;2021-10-26 09:03:10.240260
ERROR:root:;0.04;VERMELHO;False;False;2;2021-10-26 09:03:42.734292
ERROR:root:;0.08;VERMELHO;False;True;3;2021-10-26 09:04:13.446076
ERROR:root:;0.02;VERMELHO;False;True;1;2021-10-26 09:05:46.337220
ERROR:root:;0.02;VERMELHO;False;True;1;2021-10-26 09:08:53.764583
