ERROR:root:;valorAPosta;corAposta;brancoAposta;winAposta;contadorAposta;Data/Hora
ERROR:root:;0.02;PRETO;False;True;1;2021-11-05 19:11:57.431666
ERROR:root:;0.02;PRETO;False;False;1;2021-11-05 19:12:28.723713
ERROR:root:;0.04;PRETO;False;False;2;2021-11-05 19:13:00.341901
ERROR:root:;0.08;PRETO;False;False;3;2021-11-05 19:13:32.149583
ERROR:root:;0.16;PRETO;False;False;3;2021-11-05 19:14:04.976968
ERROR:root:;0.32;PRETO;False;True;4;2021-11-05 19:14:36.124839
ERROR:root:;0.02;VERMELHO;False;False;1;2021-11-05 19:15:08.493580
ERROR:root:;0.04;VERMELHO;False;False;2;2021-11-05 19:15:40.955935
ERROR:root:;0.08;VERMELHO;False;False;3;2021-11-05 19:16:14.195902
ERROR:root:;0.16;PRETO;False;True;3;2021-11-05 19:18:20.529352
ERROR:root:;0.02;PRETO;False;True;1;2021-11-05 19:18:54.758410
ERROR:root:;0.02;PRETO;False;True;1;2021-11-05 19:19:59.187745
ERROR:root:;0.02;PRETO;False;False;1;2021-11-05 19:20:29.635878
ERROR:root:;0.04;PRETO;False;True;2;2021-11-05 19:21:02.484430
ERROR:root:;0.02;PRETO;False;True;1;2021-11-05 19:24:45.152728
ERROR:root:;0.02;PRETO;False;False;1;2021-11-05 19:25:49.130032
ERROR:root:;0.04;PRETO;False;False;2;2021-11-05 19:26:20.704174
ERROR:root:;0.08;PRETO;False;False;3;2021-11-05 19:26:53.492124
ERROR:root:;0.16;VERMELHO;False;False;3;2021-11-05 19:27:57.661330
ERROR:root:;0.32;VERMELHO;False;False;4;2021-11-05 19:28:29.609678
ERROR:root:;0.64;VERMELHO;False;False;5;2021-11-05 19:28:59.830874
ERROR:root:;1.28;VERMELHO;False;False;5;2021-11-05 19:30:03.460179
ERROR:root:;2.56;VERMELHO;False;True;6;2021-11-05 19:30:34.947804
ERROR:root:;valorAPosta;corAposta;brancoAposta;winAposta;contadorAposta;Data/Hora
ERROR:root:;0.02;PRETO;False;False;1;2021-11-05 19:57:06.510769
ERROR:root:;0.04;PRETO;False;True;2;2021-11-05 19:57:38.052594
ERROR:root:;0.02;VERMELHO;False;True;1;2021-11-05 19:59:45.495192
ERROR:root:;0.02;VERMELHO;True;True;1;2021-11-05 20:00:16.454380
ERROR:root:;0.02;PRETO;False;False;1;2021-11-05 20:01:55.470186
ERROR:root:;0.04;PRETO;False;True;2;2021-11-05 20:02:27.049072
ERROR:root:;0.02;VERMELHO;False;True;1;2021-11-05 20:02:59.727413
ERROR:root:;0.02;VERMELHO;False;True;1;2021-11-05 20:12:35.154673
ERROR:root:;0.02;VERMELHO;False;True;1;2021-11-05 20:13:39.727572
ERROR:root:;0.02;VERMELHO;False;False;1;2021-11-05 20:15:15.788280
ERROR:root:;0.04;VERMELHO;False;True;2;2021-11-05 20:15:47.383177
ERROR:root:;0.02;VERMELHO;False;True;1;2021-11-05 20:19:01.909073
ERROR:root:;0.02;VERMELHO;True;True;1;2021-11-05 20:19:32.876811
ERROR:root:;0.02;VERMELHO;False;False;1;2021-11-05 20:21:09.089033
ERROR:root:;0.04;VERMELHO;False;True;2;2021-11-05 20:21:40.540848
